origin,destination,Domestic,CarrierAA,Class,Ticket,amount,miles
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,323.81,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,323.95,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,324.06,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,324.10,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,324.10,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,324.76,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,324.76,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,324.76,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,325.60,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,325.64,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,325.64,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.10,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.21,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.21,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.21,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.25,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.38,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,326.38,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,326.95,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,327.16,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,327.51,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,329.05,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,329.74,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,330.24,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,331.34,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,331.58,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,331.58,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,331.82,2412.00
